fips,unemp
06001,4.2
06003,6.5
06005,5.9
06007,6.5
06009,5.6
06011,15.5
06013,4.4
06015,7.5
06017,5.1
06019,9.4
06021,8.2
06023,4.9
06025,23.5
06027,5.2
06029,10.3
06031,10.0
06033,6.6
06035,6.9
06037,5.2
06039,9.2
06041,3.2
06043,6.9
06045,5.2
06047,10.5
06049,7.8
06051,5.3
06053,7.6
06055,4.3
06057,4.7
06059,4.0
06061,4.4
06063,9.6
06065,6.1
06067,5.4
06069,6.8
06071,5.7
06073,4.7
06075,3.3
06077,8.1
06079,4.3
06081,3.0
06083,5.0
06085,3.8
06087,6.9
06089,6.9
06091,7.6
06093,8.5
06095,5.5
06097,4.0
06099,8.5
06101,9.6
06103,7.1
06105,7.1
06107,11.0
06109,6.2
06111,5.2
06113,5.8
06115,8.5
